date,numbers,number of full data,number of train data,start,end,acc,loss,recall,precision,F1_micro,F1_macro,average_acc,,,,,,,,,,,,,
32:50.5,3,2000,1600,34000,36000,87.50%,32.05%,87.50%,87.50%,87.50%,87.49%,87.00%,,,,,,,,,,,,,
00:34.7,4,2000,1600,34000,36000,83.50%,38.51%,83.50%,83.50%,83.50%,83.48%,86.12%,,,,,,,,,,,,,
28:18.1,5,2000,1600,34000,36000,87.50%,30.16%,87.50%,87.50%,87.50%,87.50%,86.40%,,,,,,,,,,,,,
55:56.8,6,2000,1600,34000,36000,83.00%,36.76%,83.00%,83.00%,83.00%,82.89%,85.83%,,,,,,,,,,,,,
23:29.9,7,2000,1600,34000,36000,82.00%,45.40%,82.00%,82.00%,82.00%,81.95%,85.29%,,,,,,,,,,,,,
51:10.4,8,2000,1600,34000,36000,84.50%,44.09%,84.50%,84.50%,84.50%,84.43%,85.19%,,,,,,,,,,,,,
18:47.6,9,2000,1600,34000,36000,87.00%,34.85%,87.00%,87.00%,87.00%,86.98%,85.39%,,,,,,,,,,,,,
46:50.9,10,2000,1600,34000,36000,89.00%,32.16%,89.00%,89.00%,89.00%,88.91%,85.75%,,,,,,,,,,,,,
14:36.8,1,2000,1600,36000,38000,83.50%,41.07%,83.50%,83.50%,83.50%,83.50%,83.50%,,,,,,,,,,,,,
42:11.8,2,2000,1600,36000,38000,84.50%,52.45%,84.50%,84.50%,84.50%,84.29%,84.00%,,,,,,,,,,,,,
09:45.7,3,2000,1600,36000,38000,87.50%,35.33%,87.50%,87.50%,87.50%,87.48%,85.17%,,,,,,,,,,,,,
37:10.6,4,2000,1600,36000,38000,87.50%,29.17%,87.50%,87.50%,87.50%,87.47%,85.75%,,,,,,,,,,,,,
04:42.8,5,2000,1600,36000,38000,86.00%,33.32%,86.00%,86.00%,86.00%,85.99%,85.80%,,,,,,,,,,,,,
32:13.8,6,2000,1600,36000,38000,84.00%,42.37%,84.00%,84.00%,84.00%,84.00%,85.50%,,,,,,,,,,,,,
59:46.3,7,2000,1600,36000,38000,86.50%,35.43%,86.50%,86.50%,86.50%,86.35%,85.64%,,,,,,,,,,,,,
27:26.7,8,2000,1600,36000,38000,80.50%,37.05%,80.50%,80.50%,80.50%,79.95%,85.00%,,,,,,,,,,,,,
55:06.4,9,2000,1600,36000,38000,82.00%,39.68%,82.00%,82.00%,82.00%,81.98%,84.67%,,,,,,,,,,,,,
22:49.7,10,2000,1600,36000,38000,81.00%,43.10%,81.00%,81.00%,81.00%,80.97%,84.30%,,,,,,,,,,,,,
50:43.6,1,2000,1600,38000,40000,89.00%,30.43%,89.00%,89.00%,89.00%,89.00%,89.00%,,,,,,,,,,,,,
18:18.3,2,2000,1600,38000,40000,89.50%,28.51%,89.50%,89.50%,89.50%,89.49%,89.25%,,,,,,,,,,,,,
45:47.1,3,2000,1600,38000,40000,87.50%,29.58%,87.50%,87.50%,87.50%,87.50%,88.67%,,,,,,,,,,,,,
13:21.4,4,2000,1600,38000,40000,86.50%,43.58%,86.50%,86.50%,86.50%,86.38%,88.12%,,,,,,,,,,,,,
41:23.8,5,2000,1600,38000,40000,88.00%,36.12%,88.00%,88.00%,88.00%,87.97%,88.10%,,,,,,,,,,,,,
09:11.7,6,2000,1600,38000,40000,88.00%,28.99%,88.00%,88.00%,88.00%,87.94%,88.08%,,,,,,,,,,,,,
37:05.8,7,2000,1600,38000,40000,87.50%,35.68%,87.50%,87.50%,87.50%,87.50%,88.00%,,,,,,,,,,,,,
05:01.8,8,2000,1600,38000,40000,84.50%,48.30%,84.50%,84.50%,84.50%,84.17%,87.56%,,,,,,,,,,,,,
32:53.7,9,2000,1600,38000,40000,83.50%,44.73%,83.50%,83.50%,83.50%,83.50%,87.11%,,,,,,,,,,,,,
